Category,Body
Scam,"YOU WERE INTRODUCED TO ME BY A RELIABLE FRIEND OF MINE WHO IS A TRAVELLER,AND ALSO A MEMBER OF CHAMBER OF COMMERCE AS A RELIABLE AND TRUSTWORTHY PERSON WHOM I CAN RELY ON AS FOREIGN PARTNER, EVEN THOUGH THE NATURE OF THE TRANSACTION WAS NOT REVEALED TO HIM FOR SECURITY REASONS."
Scam,
Scam,
Scam,"THE (USD$25M) WAS PART OF A PROCEEDS FROM DIAMOND TRADE MEANT FOR THE LATE PRESIDENT LAURENT KABILA WHICH WAS DELIVERED THROUGH ZIMBABWE IN DIPLOMATIC BOXES. THE BOXES WERE KEPT UNDER MY CUSTODY BEFORE THE SAD EVENT THAT TOOK THE LIFE OF (MR. PRESIDENT).THE CONFUSION THAT ENSUED AFTER THE ASSASSINATION AND THE SPORADIC SHOOTING AMONG THE FACTIONS, I HAVE TO RUN AWAY FROM THE COUNTRY FOR MY DEAR LIFE AS I AM NOT A SOLDIER BUT A CIVIL SERVANT I CROSSED RIVER CONGO TO OTHER SIDE OF CONGO LIBREVILLE FROM THERE I MOVED TO THE THIRD COUNTRY GHANA WHERE I AM PRESENTLY TAKING REFUGE."
Scam,
Scam,"AS A MATTER OF FACT, WHAT I URGENTLY NEEDED FROM YOU IS YOUR ASSISTANCE IN MOVING THIS MONEY INTO YOUR ACCOUNT IN YOUR COUNTRY FOR INVESTMENT WITHOUT RAISING EYEBROW. FOR YOUR ASSISTANCE I WILL GIVE YOU 20% OF THE TOTAL SUM AS YOUR OWN SHARE WHEN THE MONEY GETS TO YOUR ACCOUNT, WHILE 75% WILL BE FOR ME, OF WHICH WITH YOUR KIND ADVICE I HOPE TO INVEST IN PROFITABLE VENTURE IN YOUR COUNTRY IN OTHER TO SETTLE DOWN FOR MEANINGFUL LIFE, AS I AM TIRED OF LIVING IN A WAR ENVIRONMENT."
Scam,
Scam,"THE REMAINING 5% WILL BE USED TO OFFSET ANY COST INCURRED IN THE CAUSE OF MOVING THE MONEY TO YOUR ACCOUNT. IF THE PROPOSAL IS ACCEPTABLE TO YOU PLEASE CONTACT ME IMMEDIATELY THROUGH THE ABOVE TELEPHONE AND E-MAIL, TO ENABLE ME ARRANGE FACE TO FACE MEETING WITH YOU IN GHANA FOR THE CLEARANCE OF THE FUNDS BEFORE TRANSFRING IT TO YOUR BANK ACCOUNT AS SEEING IS BELIEVING."
Scam,
Scam,"FINALLY, IT IS IMPORTANT ALSO THAT I LET YOU UNDERSTAND THAT THERE IS NO RISK INVOLVED WHATSOEVER AS THE MONEY HAD NO RECORD IN KINSHASA FOR IT WAS MEANT FOR THE PERSONAL USE OF (MR. PRESIDEND ) BEFORE THE NEFARIOUS INCIDENT OCCURRED, AND ALSO I HAVE ALL THE NECESSARY DOCUMENTS AS REGARDS TO THE FUNDS INCLUDING THE (CERTIFICATE OF DEPOSIT), AS I AM THE DEPOSITOR OF THE CONSIGNMENT."
Scam,
Scam,
Scam,LOOKING FORWARD TO YOUR URGENT RESPONSE.
Scam,
Scam,"YOUR SINCERELY,"
Scam,
Scam,MR. JAMES NGOLA.
Scam,
Scam,
Scam,
Scam,
Scam,
Scam,
Scam,
Scam,
Scam,
Scam,
Scam,From r  Thu Oct 31 08:11:39 2002
Scam,Return-Path: <bensul2004nng@spinfinder.com>
Scam,X-Sieve: cmu-sieve 2.0
Scam,Return-Path: <bensul2004nng@spinfinder.com>
Scam,Message-Id: <200210311310.g9VDANt24674@bloodwork.mr.itd.UM>
Scam,"From: ""Mr. Ben Suleman"" <bensul2004nng@spinfinder.com>"
Scam,"Date: Thu, 31 Oct 2002 05:10:00"
Scam,To: R@M
Scam,Subject: URGENT ASSISTANCE /RELATIONSHIP (P)
Scam,MIME-Version: 1.0
Scam,"Content-Type: text/plain;charset=""iso-8859-1"""
Scam,Content-Transfer-Encoding: 7bit
Scam,Status: O
Scam,
Scam,"Dear Friend,"
Scam,
Scam,"I am Mr. Ben Suleman a custom officer and work as Assistant controller of the Customs and Excise department Of the Federal Ministry of Internal Affairs stationed at the Murtala Mohammed International Airport, Ikeja, Lagos-Nigeria."
Scam,
Scam,"After the sudden death of the former Head of state of Nigeria General Sanni Abacha on June 8th 1998 his aides and immediate members of his family were arrested while trying to escape from Nigeria in a Chartered jet to Saudi Arabia with 6 trunk boxes Marked ""Diplomatic Baggage"". Acting on a tip-off as they attempted to board the Air Craft,my officials carried out a thorough search on the air craft and discovered that the 6 trunk boxes contained foreign currencies amounting to US$197,570,000.00(One Hundred and  Ninety-Seven Million Five Hundred Seventy Thousand United States Dollars)."
Scam,
Scam,"I declared only (5) five boxes to the government and withheld one (1) in my custody containing the sum of (US$30,000,000.00) Thirty Million United States Dollars Only, which has been disguised to prevent their being discovered during transportation process.Due to several media reports on the late head of state about all the money him and his co-government officials stole from our government treasury amounting"
Scam,"to US$55 Billion Dollars (ref:ngrguardiannews.com) of July 2nd 1999. Even the London times of July 1998 reported that General Abacha has over US$3.Billion dollars in one account overseas. We decided to conceal this one (1)box till the situation is calm and quite on the issue. The box was thus deposited with a security company here in Nigeria and tagged as ""Precious Stones and Jewellry"" in other that its"
Scam,"content will not be discovered. Now that all is calm, we (myself and two of my colleagues in the operations team) are now ready to move this box out of the country through a diplomatic arrangement which is the safest means."
Scam,
Scam,However as government officials the Civil Service Code of Conduct does not allow us by law to operate any foreign account or own foreign investment and the amount of money that can be found in our account
Scam,"cannot be more than our salary on the average, thus our handicapp and our need for your assistance to help collect and keep safely in your account this money."
Scam,
Scam,Therefore we want you to assist us in moving this money out of Nigeria. We shall definitely compensate you handsomely for the assistance. We can do this by instructing the Security Company here in Nigeria to
Scam,"move the consignment to their affiliate branch office outside Nigeria through diplomatic means and the consignment will be termed as Precious Stones and Jewelleries"" which you bought during your visit to Nigeria and is being transfered to your country from here for safe keeping. Then we can arrange to meet at the destination country to take the delivery of the consignment. You will thereafter open an account there and lodge the Money there and gradually instruct remittance to your Country."
Scam,
Scam,This business is 100% risk free for you so please treat this matter with utmost confidentiality .If you indicate your interest to assist us please just e-mail me for more Explanation on how we plan to execute the transaction.
Scam,
Scam,Expecting your response urgently.
Scam,
Scam,"Best regards,"
Scam,
Scam,Mr. Ben Suleman
Scam,
Scam,From r  Thu Oct 31 17:27:16 2002
Scam,Return-Path: <obong_715@epatra.com>
Scam,X-Sieve: cmu-sieve 2.0
Scam,Return-Path: <obong_715@epatra.com>
Scam,Message-Id: <200210312227.g9VMQvDj017948@bluewhale.cs.CU>
Scam,"From: ""PRINCE OBONG ELEME"" <obong_715@epatra.com>"
Scam,Reply-To: obong_715@epatra.com
Scam,To: webmaster@aclweb.org
Scam,"Date: Thu, 31 Oct 2002 22:17:55 +0100"
Scam,Subject: GOOD DAY TO YOU
Scam,X-Mailer: Microsoft Outlook Express 5.00.2919.6900DM
Scam,MIME-Version: 1.0
Scam,"Content-Type: text/plain; charset=""us-ascii"""
Scam,Content-Transfer-Encoding: 8bit
Scam,X-MIME-Autoconverted: from quoted-printable to 8bit by sideshowmel.si.UM id g9VMRBW20642
Scam,Status: RO
Scam,
Scam,FROM HIS ROYAL MAJESTY (HRM) CROWN RULER OF ELEME KINGDOM
Scam,"CHIEF DANIEL ELEME, PHD, EZE 1 OF ELEME.E-MAIL"
Scam,ADDRESS:obong_715@epatra.com
Scam,
Scam,"ATTENTION:PRESIDENT,CEO Sir/ Madam."
Scam,
Scam,This letter might surprise you because we have met
Scam,neither in person nor by correspondence. But I believe
Scam,it is one day that you got to know somebody either in
Scam,physical or through correspondence.
Scam,
Scam,I got your contact through discreet inquiry from the
Scam,chambers of commerce and industry of your country on
Scam,"the net, you and your organization were revealed as"
Scam,"being quite astute in private entrepreneurship, one"
Scam,has no doubt in your ability to handle a financialbusiness transaction.
Scam,
Scam,"However, I am the first son of His Royal"
Scam,"majesty,Obong.D. Eleme , and the traditional Ruler of"
Scam,Eleme Province in the oil producing area of River
Scam,State of Nigeria. I am making this contact to you in
Scam,"respect of US$60,000,000.00 (Sixty Million United"
Scam,"State Dollars), which I inherited, from my latefather."
Scam,
Scam,This money was accumulated from royalties paid to my
Scam,father as compensation by the oil firms located in our
Scam,"area as a result of oil presence on our land, which"
Scam,"hamper agriculture, which is our major source oflivelihood."
Scam,
Scam,Unfortunately my father died from protracted
Scam,diabetes.But before his death he called my attention
Scam,and informed me that he lodged some funds on a two
Scam,boxes with a security firm with an open beneficiary
Scam,status. The lodgment security code number was also
Scam,"revealed to me, he then advised me to look for a"
Scam,"reliable business partner abroad, that will assist me"
Scam,in investing the money in a lucrative business as a
Scam,result of economic instability in Nigeria. So this is
Scam,the main reason why I am contacting you for us to move
Scam,this money from the security firm to any Country of
Scam,your choice for investment purpose.
Scam,
Scam,"So I will like you to be the ultimate beneficiary, so"
Scam,that the funds can be moved in your name and
Scam,particulars to any Country of your choice where it
Scam,will be claimed and invested. Hence my father have had
Scam,intimated the security firm personnel that the
Scam,beneficiary of the box is his foreign partner whose
Scam,particulars will be forwarded to the firm when due.
Scam,
Scam,But I will guide you Accordingly. As soon as the funds
Scam,"reach, I will then come over to meet you in person, so"
Scam,that we can discuss physically on investment
Scam,potentials. Based on this assistance my Family and I
Scam,have unanimously decided to give you 30% of the total
Scam,"money, 5% for Charity home, 10% for expenses, which"
Scam,"may arise during this transaction, Fax and phone bills"
Scam,inclusive. The balance of 55% you will invest andmanaged for my Family.
Scam,
Scam,I hereby guarantee you that this is not government
Scam,"money, it is not drug money and it is not money from"
Scam,arms deal. Though you have to maintain high degree of
Scam,confidentiality on this matter. I will give more
Scam,details about the proceedings of this transaction as
Scam,soon as I receive your favorable reply.
Scam,
Scam,Please reply to my Email Address:obong_715@epatra.com
Scam,I hope this will be the beginning of a prosperous
Scam,relationship between my family and your family.
Scam,
Scam,"Nevertheless if you are for any reason not interested,"
Scam,kindly inform me immediately so that I will look foranother contact.
Scam,
Scam,I am waiting for your quick response.
Scam,
Scam,"Yours faithfully,"
Scam,
Scam,Prince Obong Abbot
Scam,
Scam,
Scam,From r  Thu Oct 31 17:53:56 2002
Scam,Return-Path: <obong_715@epatra.com>
Scam,X-Sieve: cmu-sieve 2.0
Scam,Return-Path: <obong_715@epatra.com>
Scam,Message-Id: <200210312253.g9VMreDj018024@bluewhale.cs.CU>
Scam,"From: ""PRINCE OBONG ELEME"" <obong_715@epatra.com>"
Scam,"Date: Thu, 31 Oct 2002 22:44:20"
Scam,To: webmaster@aclweb.org
Scam,Subject: GOOD DAY TO YOU
Scam,MIME-Version: 1.0
Scam,"Content-Type: text/plain;charset=""iso-8859-1"""
Scam,Content-Transfer-Encoding: 7bit
Scam,Status: RO
Scam,
Scam,FROM HIS ROYAL MAJESTY (HRM) CROWN RULER OF ELEME KINGDOM
Scam,"CHIEF DANIEL ELEME, PHD, EZE 1 OF ELEME.E-MAIL"
Scam,ADDRESS:obong_715@epatra.com
Scam,
Scam,"ATTENTION:PRESIDENT,CEO Sir/ Madam."
Scam,
Scam,This letter might surprise you because we have met
Scam,neither in person nor by correspondence. But I believe
Scam,it is one day that you got to know somebody either in
Scam,physical or through correspondence.
Scam,
Scam,I got your contact through discreet inquiry from the
Scam,chambers of commerce and industry of your country on
Scam,"the net, you and your organization were revealed as"
Scam,"being quite astute in private entrepreneurship, one"
Scam,has no doubt in your ability to handle a financialbusiness transaction.
Scam,
Scam,"However, I am the first son of His Royal"
Scam,"majesty,Obong.D. Eleme , and the traditional Ruler of"
Scam,Eleme Province in the oil producing area of River
Scam,State of Nigeria. I am making this contact to you in
Scam,"respect of US$60,000,000.00 (Sixty Million United"
Scam,"State Dollars), which I inherited, from my latefather."
Scam,
Scam,This money was accumulated from royalties paid to my
Scam,father as compensation by the oil firms located in our
Scam,"area as a result of oil presence on our land, which"
Scam,"hamper agriculture, which is our major source oflivelihood."
Scam,
Scam,Unfortunately my father died from protracted
Scam,diabetes.But before his death he called my attention
Scam,and informed me that he lodged some funds on a two
Scam,boxes with a security firm with an open beneficiary
Scam,status. The lodgment security code number was also
Scam,"revealed to me, he then advised me to look for a"
Scam,"reliable business partner abroad, that will assist me"
Scam,in investing the money in a lucrative business as a
Scam,result of economic instability in Nigeria. So this is
Scam,the main reason why I am contacting you for us to move
Scam,this money from the security firm to any Country of
Scam,your choice for investment purpose.
Scam,
Scam,"So I will like you to be the ultimate beneficiary, so"
Scam,that the funds can be moved in your name and
Scam,particulars to any Country of your choice where it
Scam,will be claimed and invested. Hence my father have had
Scam,intimated the security firm personnel that the
Scam,beneficiary of the box is his foreign partner whose
Scam,particulars will be forwarded to the firm when due.
Scam,
Scam,But I will guide you Accordingly. As soon as the funds
Scam,"reach, I will then come over to meet you in person, so"
Scam,that we can discuss physically on investment
Scam,potentials. Based on this assistance my Family and I
Scam,have unanimously decided to give you 30% of the total
Scam,"money, 5% for Charity home, 10% for expenses, which"
Scam,"may arise during this transaction, Fax and phone bills"
Scam,inclusive. The balance of 55% you will invest andmanaged for my Family.
Scam,
Scam,I hereby guarantee you that this is not government
Scam,"money, it is not drug money and it is not money from"
Scam,arms deal. Though you have to maintain high degree of
Scam,confidentiality on this matter. I will give more
Scam,details about the proceedings of this transaction as
Scam,soon as I receive your favorable reply.
Scam,
Scam,Please reply to my Email Address:obong_715@epatra.com
Scam,I hope this will be the beginning of a prosperous
Scam,relationship between my family and your family.
Scam,
Scam,"Nevertheless if you are for any reason not interested,"
Scam,kindly inform me immediately so that I will look foranother contact.
Scam,
Scam,I am waiting for your quick response.
Scam,
Scam,"Yours faithfully,"
Scam,
Scam,Prince Obong Eleme
Scam,
Scam,From r  Fri Nov  1 04:48:39 2002
Scam,Return-Path: <m_abacha03@www.com>
Scam,X-Sieve: cmu-sieve 2.0
Scam,Return-Path: <m_abacha03@www.com>
Scam,Message-Id: <200211010948.gA19mLu22932@perfectworld.mr.itd.UM>
Scam,"From: ""Maryam Abacha"" <m_abacha03@www.com>"
Scam,Reply-To: m_abacha03@www.com
Scam,To: R@M
Scam,"Date: Fri, 1 Nov 2002 01:45:04 +0100"
Scam,Subject: I Need Your Assistance.
Scam,X-Mailer: Microsoft Outlook Express 5.00.2919.6900 DM
Scam,MIME-Version: 1.0
Scam,"Content-Type: text/plain; charset=""us-ascii"""
Scam,Content-Transfer-Encoding: 8bit
Scam,X-MIME-Autoconverted: from quoted-printable to 8bit by sideshowmel.si.UM id gA19mVW29040
Scam,Status: RO
Scam,
Scam,"Dear sir,"
Scam,
Scam,It is with a heart full of hope that I write to seek your help in respect of the context below. I am Mrs. Maryam Abacha the former first lady of the former Military Head of State of Nigeria General Sani Abacha whose sudden death occurred on 8th of June 1998 as a result of cardiac arrest (heart attack) while on the seat of power.
Scam,"I have no doubt about your capability and good-will to assist me in receiving into your custody (for safety) the sum of US$25 Million willed and deposited in my favour by my late husband in a security and deposit company. Though my contact to you for this assistance is not anchored on any personal ecommendation, I pray your understanding, good will and sincere assistance to respond to this message with honest intensions and concern."
Scam,"This money is currently deposited here with a security company as miscellaneous awaiting collection and according to the agreement entered into at the time of deposit between my late husband and the Security Company at the time of deposit; the collection centre is in Ghana. As it is legally required, the administration of my late husband's properties is under the authority of the family's lawyer Tony Musa."
Scam,
Scam,"My Dear JK, since the demise of my husband, the present regime has been probing my late husband's wealth and properties, the London Newsweek of 13th march 2000 referred. The investigating team led by Enrico Monfrini, the lawyer acting on behalf of the Nigerian government has so far submitted their report and presently, some liquid cash and assets, movable and immovable, have been frozen and seized both locally here and internationally and my last hope is rested on the immediate security of this fund in your custody. Also, Johnnie Cochran, the lawyer who defended OJ Simpson, has been brought in by the Abacha entourage to help them retain the disputed funds. Fortunately, our family lawyer had secretly protected the ""Personal will"" of my husband from the notice of the investigators and have strictly advised that the willed money be urgently moved into an overseas account of Trusted Foreign family friend without delay. For security reasons and f!"
Scam,"urther advise,! no relations or fr!"
Scam,iends of ours should be used; as this is a measure of security. The government had earlier placed foreign travel embargo on all our family members and seized all known local and International outfits of our business empire.
Scam,"The situation has been so terrible that we are virtually living on the assistance of well-wishers. In view of this plight, I expect you to be trustworthy and kind enough to respond to this ""SOS"" call to save my children and I from a hopeless future."
Scam,"I hereby agree to compensate your sincere and candid effort, immensely, which will be discussed between you, the Attorney and I. On your immediate response, the Attorney will travel to Ghana where both of you will meet, and thereafter proceed to the deposit company for the claims."
Scam,"The documentations include, most importantly, Power of Attorney and Certificate of Deposit amongst few others. These documents will be sent to you by Fax, as you would have to present them for proper claims."
Scam,"Please, be rest assured that this transaction is completely safe and legal but must be kept strictly to yourself even after the funds have been secured into our custody. This is so because any leakage of information could ruin the whole transaction."
Scam,"Please all contacts must be made through my lawyer on his email: tony_m@lawyer.com This has to be so as he has been mandated to handle this matter and I have fully briefed him (my Attorney) on my contact to you. Due to my present circumstance, I have handed everything over to him to co - ordinate and finalize with you and I will communicate you as at when necessary. Please for the safety of this transaction, reply stating your phone and fax numbers to enable them contact you directly without running the risk of mail interception."
Scam,I look forward to your quick response.
Scam,"Best Wishes,"
Scam,Mrs. Maryam Abacha
Scam,
Scam,
Scam,
Scam,From r  Sat Nov  2 00:18:06 2002
Scam,Return-Path: <davidkuta@postmark.net>
Scam,X-Sieve: cmu-sieve 2.0
Scam,Return-Path: <davidkuta@postmark.net>
Scam,02 Nov 2002 06:23:11 -0000
Scam,Mime-Version: 1.0
Scam,From: Kuta David <davidkuta@postmark.net>
Scam,To: davidkuta@yahoo.com
Scam,Subject: Partnership
Scam,"Date: Sat, 02 Nov 2002 06:23:11 +0000"
Scam,"Content-Type: text/plain; charset=""iso-8859-1"""
Scam,Status: RO
Scam,
Scam,ATTENTION:
Scam,PRESIDENT/MANAGING DIRECTOR
Scam,
Scam,"Dear Sir/Madam,"
Scam,
Scam,Request for Urgent Business Relationship
Scam,
Scam,We are Top Officials of the Federal Government of
Scam,Nigeria Contract Review Panel who are interested in
Scam,importation of goods into our country and
Scam,investing abroad with funds which are presently
Scam,trapped in Nigeria.
Scam,In order to commence this business we solicit your
Scam,"assistance, knowledge and expertise to enable us"
Scam,"recieve the said trapped  funds abroad, for the"
Scam,subsequent purchase and inventory of the goods to be
Scam,Imported and the investment abroad.
Scam,
Scam,The source of this fund is as follows: During the
Scam,"previous military regimes in our country, government"
Scam,officials set up companies and awarded themselves
Scam,contracts which were grossly over-invoiced in
Scam,various ministries. The new civilian government now
Scam,setup  a contract review panel which i and my
Scam,colleagues are members and we have identified a lot of
Scam,"inflated sum, due to our position  as civil servants"
Scam,"and members of this panel, we cannot aquire this money"
Scam,in our names.
Scam,"I have therefore, been delegated as a matter of trust"
Scam,by my colleagues of the panel to look for an oversea
Scam,"partner into whose account the sum of us$31,000 000,00"
Scam,(thirty-one million united states dollars) will be
Scam,Paid by telegraphic transfer. Hence we are writting
Scam,you this letter.
Scam,
Scam,We have agreed to share the money thus:
Scam,1.  70% for us (the officials)
Scam,2.  20% for the foreign patner(you)
Scam,3.  10% to be used in settling taxation and local and
Scam,Foreign expenses.
Scam,
Scam,It is this 70% that we wish to commence the
Scam,importation business and the investment abroad. Please
Scam,note that this transaction is 100% safe and we hope
Scam,that the funds can arrive your account in latest
Scam,ten(10) banking days from the date of reciept of the
Scam,following information.A suitable company name and bank
Scam,account(company or personel) into which the funds can
Scam,be paid.
Scam,
Scam,The above information will enable us write letters
Scam,of claim and job  description respectively. This way
Scam,we will use your company's name to apply for payments
Scam,and re-award the contract to your company name.
Scam,
Scam,We are looking foward to doing business with you and
Scam,solicit your confidentiality  in this transaction.
Scam,
Scam,Please acknowledge reciept of this letter using this
Scam,e-mail address.
Scam,davidkuta2002@yahoo.com
Scam,I await your urgent response.
Scam,
Scam,NOTE: ALL CORRESPONDENCE SHOULD BE  CONFIDENTIAL.
Scam,
Scam,
Scam,"Best Regards,"
Scam,David Kuta
Scam,
Scam,
Scam,From r  Sat Nov  2 05:10:24 2002
Scam,Return-Path: <tunde_dosumu@mailcity.com>
Scam,X-Sieve: cmu-sieve 2.0
Scam,Return-Path: <tunde_dosumu@mailcity.com>
Scam,"From: ""Barrister tunde dosumu"" <tunde_dosumu@lycos.com>"
Scam,Message-ID: <DDOJJKOJEHNONAAA@mailcity.com>
Scam,Mime-Version: 1.0
Scam,Content-Language: en
Scam,X-Expiredinmiddle: true
Scam,Reply-To: tunde_dosumu@lycos.com
Scam,X-Sent-Mail: off
Scam,X-Mailer: MailCity Service
Scam,Subject: Urgent Attention
Scam,X-Priority: 3
Scam,X-Sender-Ip: 208.14.9.28
Scam,Organization: Lycos Mail  (http://www.mail.lycos.com:80)
Scam,Content-Type: text/plain; charset=us-ascii
Scam,Content-Language: en
Scam,Content-Transfer-Encoding: 7bit
Scam,Status: O
Scam,
Scam,"Dear Sir,"
Scam,
Scam,"I am Barrister Tunde Dosumu (SAN) solicitor at law. I am the personal attorney to Mr. Eton Simon, a national of your country, who used to work with Shell Petroleum Development Company (SPDC)here in Nigeria. Here in after shall be referred to  me as my client.  On the 21st of April 2000, my client, his wife And  their three children were involved in a car accident along Sagbama Express Road. All occupants of the  vehicle unfortunately lost there lives.  Since then I  have made several enquiries to your embassy to locate  any of my clients extended relatives this has also  proved unsuccessful."
Scam,
Scam,"After these several unsuccessful attempts, I decided  to track his last name over the Internet, to locate  any member of his family hence I contacted you.  I  have contacted you to assist in repatrating the money  and property left behind by my client before they get confisicated or declared unserviceable by the bank  where this huge deposits were lodged, particularly, the CITI TRUST BANK where the deceased had an  account valued at about US$14.7million dollars . The bank has issued me a notice to provide the next of kin or have the account confisicated within the next ten official"
Scam,working days.
Scam,
Scam,Since I have been unsuccesfull in locating the the relatives for over 2 years now I seek your consent to present you as the next of kin of the deceased since
Scam,you have the same last name  so that the proceeds of this account valued at US$14.7 million dollars can be paid to you and then you and me can share the money. I have all necessary legal documents that can be used to back up any claim we may make.
Scam,
Scam,"All I require is your honest co-operation  to enable us see this dealthrough. I  guarantee that this will be executed under legitimate arrangement that will protect you from any breach of the law.Please get in touch with me via my private email address of barrister_tunde@lawyer.com to enable us discuss further. Or, call me on 234-80-33-432-485"
Scam,
Scam,"Best regards,"
Scam,
Scam,
Scam,Barrister Tunde Dosumu (SAN).
Scam,
Scam,
Scam,__________________________________________________________
Scam,"Outgrown your current e-mail service? Get 25MB Storage, POP3 Access,"
Scam,Advanced Spam protection with LYCOS MAIL PLUS.
Scam,http://login.mail.lycos.com/brandPage.shtml?pageId=plus&ref=lmtplus
Scam,
Scam,From r  Sun Nov  3 19:00:11 2002
Scam,Return-Path: <william2244drallo@maktoob.com>
Scam,X-Sieve: cmu-sieve 2.0
Scam,Return-Path: <william2244drallo@maktoob.com>
Scam,Message-Id: <200211032359.gA3Nxem6007078@cs.CU>
Scam,"From: ""William Drallo"" <william2244drallo@maktoob.com>"
Scam,Reply-To: william2244drallo@maktoob.com
Scam,To: webmaster@aclweb.org
Scam,"Date: Sun, 3 Nov 2002 23:56:20 +0000"
Scam,Subject: URGENT BUSINESS PRPOSAL
Scam,X-Mailer: Microsoft Outlook Express 5.00.2919.6900 DM
Scam,MIME-Version: 1.0
Scam,"Content-Type: text/plain; charset=""us-ascii"""
Scam,Content-Transfer-Encoding: 8bit
Scam,X-MIME-Autoconverted: from quoted-printable to 8bit by sideshowmel.si.UM id gA4001W13094
Scam,Status: O
Scam,
Scam,FROM: WILLIAM DRALLO.
Scam,CONFIDENTIAL TEL: 233-24-204567.
Scam,
Scam,"I ascetained your contact through a reliable source,In"
Scam,my search for a foreign partner to assist me in my
Scam,business.
Scam,"I am William Drallo, the son of  late former Minister"
Scam,Of Mines and Natural Resource during the time of Major
Scam,"Koromah, the former Military Head of State of the"
Scam,"Republic of  Sierra Leone, who was massacred by"
Scam,president Tijani Kabba force in their struggle to
Scam,reinstate him back to power.
Scam,
Scam,"I and my brother are refugee here in Accra,Ghana since"
Scam,"the death of our father, because of  the  condition of"
Scam,his death.Before the death of my  father some months
Scam,ago he disclosed to me some money and gold he had
Scam,deposited in a security company here in ghana.
Scam,
Scam,The total amount of money which happened to
Scam,"be$28.3000.000.oo,US Dollars.And gold at 200Kg of"
Scam,22Karat all in a security vault in ghana.
Scam,
Scam,The document regarding this consignment was handed
Scam,"over to me by my father before his death, I carefully"
Scam,search and found the security Company where I
Scam,confirmed that the consignment were deposited for safe
Scam,keeping in their securit vault in ghana.
Scam,
Scam,"The content were deposited as a family valuable, By"
Scam,"virtue of right as the son of my late father, the"
Scam,security company has accepted to release the
Scam,consignment factually.
Scam,
Scam,I am seeking your assistance because my father has
Scam,declared the record with the security company stating
Scam,that his foreign parrtner shall be the authorised
Scam,person to make claim on this consignment becaues of
Scam,his position in government on which no name was given
Scam,by my father as his foreign partner.
Scam,
Scam,"To this effect, I request to make the beneficiary of"
Scam,his consignment in your name as foreign partner to
Scam,"claim this consignment. For your assistance,I am ready"
Scam,to give you 10%from the total sum.  This is a risk
Scam,free transaction
Scam,as my father deposited this valuable as a personal
Scam,belonging.
Scam,In this situation every process to completely move
Scam,"this  valuable may not exceed (7) working days, if"
Scam,your co-operation to assist is sort.please include
Scam,your phone and fax number for easy communication I
Scam,shall be very
Scam,"grateful to hear from you, all documents concerning"
Scam,"this are intact with me, please kindly reach me as"
Scam,soon as possible in email address
